x1,x2,y
0.92162844,2.857234294,7.68170894
0.171449072,6.175689425,9.783352844
0.301311826,3.339787627,7.572416264
0.732881402,5.6436995,10.85787215
0.379708481,1.267908079,1.608030465
0.998300963,3.071670857,5.776799538
0.094932339,6.161746412,11.36668557
0.339778483,3.962125916,5.320178022
0.690729839,0.544571753,0.803984812
0.295112769,3.644485301,8.039947644
0.101963742,5.412884716,10.05524337
0.828750585,4.869745559,11.3253347
0.689316874,2.834864238,5.152792737
0.581412336,3.382735907,7.58495998
0.823022953,4.149659209,10.18617783
0.470294817,5.665155211,9.86867453
0.095276247,5.816896612,7.09945581
0.221758384,3.660776719,4.493405273
0.064482326,5.994155567,10.96092495
0.893163606,3.877204796,8.435901962
0.15712542,5.299636664,10.02055065
0.408585203,0.840171868,0.473755442
0.82835857,1.851297016,2.884611884
0.622686772,2.054621528,5.782395088
0.576769467,2.736694906,4.836921637
0.029628777,1.859228889,3.319087039
0.59066439,3.918878292,5.834859507
0.119934375,0.420861822,1.658177343
0.76454621,1.001433022,3.145489825
0.862511584,5.703929116,8.924874314
0.131054204,6.659494463,8.34059326
0.746378129,3.839251435,7.140770243
0.044209079,6.652019386,11.69479089
0.31311097,2.782981695,6.533257574
0.646951161,5.003858572,7.199136501
0.286878442,4.669437876,6.543152031
0.821456723,6.436379152,11.06299468
0.746798127,4.557375259,8.675070908
0.096696308,0.711395659,1.079105244
0.768999024,0.747046738,4.405612216
0.856426973,5.792538148,10.29584137
0.336666918,4.757645737,9.875914345
0.878849116,1.228237248,3.646680636
0.40155829,1.88597134,3.778435031
0.22043208,5.659174158,7.91418329
0.112001139,4.47545834,7.1108996
0.402364273,5.166871756,8.275159947
0.31908849,6.528781112,9.559974852
0.468953399,5.60946557,8.902867509
0.01705041,0.796966965,2.401451715
0.211844366,3.917622949,7.963415386
0.966283112,1.094844668,5.975219634
0.344668476,1.341932314,4.045484339
0.111021056,4.351482461,8.268670682
0.278464062,6.316984619,11.32594263
0.90377854,3.933220417,9.844810934
0.239679194,1.618234693,2.026150598
0.684300865,5.478467154,11.86015797
0.518019023,6.638565217,9.29267584
0.442988991,2.95374355,4.627820155
0.507753674,6.595384512,11.6652003
0.123937439,1.392342771,0.945344531
0.544746889,2.001932175,2.99164355
0.741357024,2.399838517,4.575781835
0.974042021,2.24772308,5.883140087
0.802849533,2.398236252,6.070580384
0.821008791,4.674284393,7.891910694
0.112924849,3.128413518,4.060045086
0.348866627,1.108832524,4.220888187
0.404956988,5.022921382,9.582197385
0.576604314,3.736321704,5.241909982
0.069109172,0.063888307,1.154024001
0.935439316,4.581278583,7.267278178
0.948057021,2.625562785,5.193477799
0.957679294,0.086755632,1.926754996
0.826591628,3.863375175,6.526659414
0.08493007,5.15513313,6.817056464
0.090622558,2.05468867,2.694327142
0.471166852,4.380232496,7.224763177
0.252883995,0.739364644,1.637571071
0.848733318,1.208264099,4.74335919
0.299313086,4.651059503,6.246499214
0.587968111,6.696301452,12.43659501
0.304219988,3.127562845,4.882387013
0.168369308,0.020583868,-0.486973168
0.925842777,4.371333667,8.091642837
0.214658607,1.086371863,1.273325947
0.008563067,3.251553338,5.684300889
0.657385612,2.187710896,5.221512554
0.260267543,6.34155722,10.11468976
0.16818715,1.506189504,1.353493607
0.377595099,6.548502715,10.17428902
0.411715405,0.537260303,1.457402258
0.119881701,6.448726945,11.80310607
0.924045356,5.023812875,9.352540992
0.888802666,6.681934517,13.99316789
0.679933526,4.913518679,9.163971021
0.324317297,1.686334337,4.370654756
0.25098935,1.338590297,3.035792759
0.217643725,2.142391563,4.125374156
0.234843879,1.414967571,4.57850939
0.022097842,3.633813475,4.587773337
0.765774646,6.538834529,10.27992227
0.37226097,2.547901459,5.456822426
0.296742293,5.1188533,7.710349587
0.783576638,1.846390436,4.31086639
